humidity,carbon 
34.3,0.3
22.2,0.5
17.8,0.5
8.6,0.2
16,0.3
10.3,0.2
9.4,0.3
12.1,0.4
11.5,0.2
16.4,0.2
45.2,0.2
30.8,0.2
24.8,0.3
24.6,0.3
22.2,0.2
20.9,0.3
20,0.2
25.4,0.2
16.3,0.2
12,0.3
14.8,0.4
16.7,0.4
15.6,0.2
27.3,0.2
27.5,0.2
30.6,0.2
27.5,0.2
26.4,0.2
12.6,0.3
13.1,0.4
11.1,0.3
9.5,0.2
9,0.2
12.3,0.3
16.1,0.4
14,0.3
12.7,0.2
17.7,0.2
18.3,0.2
13.9,0.2
27.1,0.3
15.1,0.3
11.5,0.2
10,0.2
10.8,0.2
8.2,0.4
6.9,0.3
6.8,0.2
10,0.2
16.9,0.2
22.3,0.2
21.3,0.2
24.5,0.3
18.6,0.4
12.5,0.4
33.7,0.3
26,0.3
20.7,0.3
17.2,0.3
14.8,0.2
14,0.2
12.8,0.2
12.5,0.2
14.8,0.2
12.9,0.3
14.4,0.3
12.4,0.3
10.8,0.3
9.4,0.2
7.2,0.3
7.9,0.2
9.2,0.1
12.5,0.1
15.5,0.2
14.5,0.2
9.6,0.2
9.6,0.2
7,0.3
6,0.3
6.7,0.3
22.2,0.3
39.5,0.3
26,0.3
12.7,0.2
19.9,0.3
8.6,0.3
7.8,0.3
8.3,0.2
7.7,0.2
7.9,0.2
7.8,0.2
7.3,0.2
18.1,0.3
18.4,0.3
27.6,0.3
42.2,0.3
31.3,0.3
22,0.3
16.8,0.2
27.6,0.2
27.4,0.2
37.6,0.4
44.2,0.4
57.2,0.3
46.2,0.2
21.6,0.2
29.2,0.2
49.1,0.2
32.8,0.2
29.5,0.2
31.8,0.4
35.4,0.3
48.1,0.3
31.8,0.3
19.6,0.3
15.2,0.2
14.6,0.3
32,0.3
35.2,0.4
12.5,0.3
11.3,0.2
20,0.3
29.4,0.2
29.7,0.4
15.7,0.4
15.4,0.2
16.2,0.4
17,0.4
21.1,0.3
22.7,0.3
14.1,0.3
9.5,0.3
8.2,0.3
13.2,0.2
21.4,0.3
37.8,0.3
28.3,0.3
12.2,0.5
13.7,0.3
39.6,0.3
32.6,0.3
16.3,0.4
11.1,0.3
15,0.2
30,0.3
43,0.3
37.8,0.3
20.9,0.3
18.5,0.3
12.8,0.4
10.1,0.2
9.4,0.3
16.4,0.3
14.2,0.2
9.8,0.3
9.4,0.3
9.4,0.4
9,0.3
10.5,0.2
16.1,0.2
25.3,0.3
29.1,0.3
54.9,0.3
46.7,0.3
49.9,0.3
43.4,0.3
27.4,0.4
17.8,0.3
17.1,0.2
13.1,0.2
14,0.2
10.3,0.3
18.1,0.2
17.7,0.2
9.4,0.2
13.9,0.3
13.9,0.4
11.5,0.3
10.9,0.3
14.1,0.2
15.8,0.2
10,0.3
27.1,0.3
42.7,0.3
25.5,0.7
28.5,0.8
68.1,0.7
25.2,0.1
21.6,0.1
16.8,0.1
17.2,0.1
36.7,0.1
25.6,0.1
22.4,0.2
13.9,0.2
15.6,0.1
15.5,0.1
17.1,0.1
14.7,0.1
13.7,0.1
18.2,0
18.3,0
15.1,0
17.8,0.1
16.1,0.1
12.3,0.1
11.7,0.1
17.8,0.1
16.3,0.2
12.3,0.1
14.9,0.1
12.5,0.1
11,0.1
20.4,0.1
17.7,0.2
11.2,0.1
12.1,0.1
14.7,0.2
25.9,0.1
31.1,0.2
15.3,0.1
13.7,0.1
13.4,0.1
11.6,0.1
11.9,0.1
10.8,0.1
10.6,0.2
10.6,0.1
10.8,0.1
8.7,0.1
7.5,0.2
9.3,0.1
12.2,0.1
17.4,0.1
28,0.2
11.3,0.2
13.9,0.1
19.4,0.1
19.2,0.1
16.7,0.1
25,0.1
29.6,0.3
16.7,0.5
20.2,0.1
27.4,0.2
35.4,0.2
26.4,0.4
20.1,0.3
16.2,0.2
17.1,0.1
9.4,0.1
8.6,0.1
21.5,0.1
31,0.1
20.3,0.2
15.7,0.2
24.4,0.2
20.9,0.2
16.7,0.2
14.9,0.3
14.5,0.1
13.4,0.1
11.7,0.1
50.6,0.1
40.6,0.1
18.6,0.1
26.5,0.1
25.8,0.3
15.9,0.2
8.5,0.1
13.7,0.2
18.4,0.2
19,0.2
23.8,0.2
28.3,0.2
21.8,0.2
7.9,0.1
7.7,0.1
7,0.1
10.4,0.1
10.5,0.1
8,0.2
11.6,0.2
22.8,0.2
24.5,0.2
13,0.2
11.9,0.1
36,0.1
40.4,0.1
32.3,0.2
21.9,0.1
26.3,0.1
19,0.2
14.2,0.1
13.5,0.2
7.4,0.2
6.9,0.1
16.8,0.1
32.4,0.1
60.1,0.2
44.8,0.2
34.5,0.2
10.3,0.1
11.8,0.1
28.8,0.2
18.3,0.3
16.9,0.2
26.3,0.2
14.3,0.1
7.5,0.1
10.5,0.1
11.9,0.1
41.1,0.1
38.7,0.2
28.8,0.2
24.4,0.1
9.9,0.1
9.8,0.1
14.4,0.1
17.5,0.2
12.3,0.1
12.5,0.1
13.2,0.2
12.8,0.1
8.9,0.1
6.2,0.2
7.3,0.2
7.9,0.1
6.6,0.1
26.2,0.2
31.6,0.1
31.1,0.1
