humidity,ozone
16.3,22
14.9,26
14.6,29
13.6,17
12,19
8.7,38
15.6,30
40.7,37
38.5,26
29.2,22
26.4,28
17.6,37
18.7,41
16.3,32
18.1,33
13.8,22
12.7,27
12.9,33
37.6,35
32.3,36
22.8,27
10.8,40
12.2,43
11.4,21
10.8,35
10.1,43
19,44
17.3,31
16.6,39
27.9,39
25.3,36
40.1,38
33.9,33
18.9,28
12.8,21
10.3,33
7.3,36
12.2,19
35.4,38
36.9,35
21.9,35
32.4,39
46,30
38.1,28
20.3,24
14.4,41
16.8,46
21.9,34
30.5,39
27.5,31
12.5,34
13.6,42
35.4,47
33.4,39
16.5,38
16.2,41
16.5,46
14.8,37
12.5,40
19.6,46
19,43
34.4,39
36.9,35
22.5,44
17.5,49
12.1,48
10,44
11.1,49
11.7,49
19.5,41
14.8,39
11.4,37
23.3,37
35.6,48
39.9,45
28.9,43
17.2,31
29.2,33
50.5,28
42.6,32
20.4,33
9.6,42
9.9,43
9.5,39
9,43
10.1,38
12,42
12.5,43
9,35
9.2,37
27.4,33
41.7,33
30.1,30
20,31
20.8,41
22.1,30
27.9,28
27,30
17.6,29
15.3,26
16.8,17
16,21
25.7,28
39.5,33
21.9,29
22.2,28
13.8,25
12,30
14.8,28
13.8,27
17.6,35
16.2,30
16,27
11.4,27
15.8,36
24.1,44
15.8,36
15.9,43
32.3,43
37.7,37
23.8,32
11.7,50
23.8,45
28.2,42
20.6,44
16.1,51
16.4,42
14.9,25
14.4,23
10.9,33
11.5,37
10.8,38
29.6,43
41.3,38
42.3,39
23.2,36
9.9,37
10.4,37
8.9,42
9.2,33
12.3,32
12.1,35
7.9,45
31.1,41
26.3,43
12.2,46
15.6,47
18.7,49
15.1,42
23.8,34
51.4,45
27.7,38
10.4,36
9.9,34
14,39
23.1,44
14.8,40
12.7,36
12.1,40
20.5,42
25.9,43
30,47
24.2,43
23.1,48
16.9,49
10.4,46
12.1,39
20.4,44
18.2,44
13.4,45
11.9,41
12.7,56
28.8,49
27.2,44
20.8,41
20.7,43
9.2,36
13,32
13.2,27
17.7,46
30.2,50
36.7,49
38.4,44
34.3,32
22.2,25
17.8,22
8.6,35
16,31
10.3,32
9.4,38
12.1,25
11.5,32
16.4,39
45.2,38
30.8,39
24.8,36
24.6,40
22.2,35
20.9,33
20,32
25.4,42
16.3,38
12,33
14.8,21
16.7,19
15.6,23
27.3,23
27.5,24
30.6,33
27.5,40
26.4,39
12.6,33
13.1,24
11.1,34
9.5,38
9,41
12.3,36
16.1,34
14,27
12.7,41
17.7,33
18.3,36
13.9,43
27.1,45
15.1,36
11.5,41
10,53
10.8,39
8.2,31
6.9,39
6.8,47
10,49
16.9,50
22.3,48
21.3,51
24.5,36
18.6,33
12.5,26
33.7,39
26,46
20.7,46
17.2,45
14.8,40
14,43
12.8,45
12.5,47
14.8,45
12.9,41
14.4,51
12.4,51
10.8,36
9.4,35
7.2,37
7.9,32
9.2,36
12.5,31
15.5,29
14.5,21
9.6,26
9.6,29
7,36
6,47
6.7,46
22.2,51
39.5,47
26,50
12.7,49
19.9,43
8.6,34
7.8,32
8.3,39
7.7,43
7.9,39
7.8,38
