nitrogen,pm10
15.9,22.9
15.8,33.7
18.9,26.8
31.8,39.4
26.1,38.5
3.2,32.2
7.4,43.2
7.4,47.3
11.3,22.4
18.1,23.6
22.8,38
8,80.2
4.7,20.3
6.9,24.3
9.2,22.5
18.4,28.2
13,26.6
8.7,30.8
1.7,34.6
7.7,20.6
17.5,29.9
6.4,93.5
5.1,78
20.8,28.3
10.4,25
5.1,25.9
8.2,23.1
12.1,28
5.5,110.4
4.6,30.6
8.8,23.7
6.2,18
9,14.8
14.6,20.5
24.9,30.4
16.6,26.7
17,27.1
28.8,42.3
6.4,25.8
12.4,21.9
3,56
2.9,13
6.2,20
13.4,20.2
22.6,28.8
4.3,77.7
2.1,31
9.2,19.5
7.2,26.2
14.6,22.7
17.1,23.9
13.7,24.9
6.1,40.8
6.5,20.9
3.1,30.3
4.3,94.1
5.6,47.5
12.4,31.6
6.7,43.8
5.9,29.3
8.2,22.5
1.4,44.1
6,19.8
7,23.4
8.3,21.7
8.4,26.7
9.1,79
8.5,35.4
4.5,32.7
6.3,25.9
9.8,23.8
14.3,25.2
11.4,32.5
6.2,30.3
4.6,31.9
1.2,34.5
1.5,82.1
3.3,36.5
1,18.8
10.2,23.3
14.7,27.3
5,21.4
4.3,40.6
7.2,40.4
8.5,47.9
11.3,52.1
,47.4
16.2,28.5
23.3,36.1
6,33
4.5,27.5
9,20.3
14.3,22
11.1,21.5
6.6,22.5
16.8,30.7
6.3,28.1
4.1,30.3
17.2,30.8
26,47.9
28.6,51.5
24.3,45.8
15.1,38.5
7.5,34.6
16.8,36.1
12.7,30.7
16.4,31.9
11.9,30.3
14.2,27.7
23.4,45
8.8,30.6
12.4,35
16.1,28.3
16,34.5
6.4,21.6
5,26.1
4.9,48.2
15.2,26.1
26.7,34.8
21.4,38.6
6.9,26.7
4.5,25.3
12.2,28.4
4.7,32.8
4.3,32.7
11,25.4
10.2,27.2
12,23.5
9.4,23.7
11.7,25.3
15,33.1
10,29.7
12.7,25.4
11.8,24
3.5,29
5.2,21.1
2.9,45.9
1.8,107.9
5.7,22.6
4.3,48.3
2,53.2
3.6,16.1
5.2,14.3
11.9,20.1
15.4,27.7
10.4,25.4
4.5,30.2
12.1,26
6.3,36.8
4.2,22
4.5,27.7
3.8,25.8
5.1,20.7
9.8,24
7.5,21.4
9.1,26.4
5,20.1
6,26.8
3.9,115.3
5.4,25.2
5.1,28.6
8.4,20.5
3.1,20.9
2.5,24
8.5,26.4
9.8,29.7
8.6,26.1
4.6,43.1
3.9,41
7.7,24.9
1.6,27.8
2.5,25.5
6.9,50.4
10.3,27.1
17.2,21.8
26.9,38.7
23.7,40.3
7.3,29.8
15,39.6
10.1,24.7
13.9,35.2
23.8,38.5
11.2,27.8
4.4,22.9
3.2,22.7
9.3,22.7
13.1,28.4
10.7,32
4.4,91.6
11.8,24.3
7.2,24.3
2,49.1
9.4,19.2
16.6,24.4
23.8,37.6
16.2,27.3
8.6,36.9
7.6,43.8
3.1,48.1
7.6,28.2
7.5,21.3
6.2,23
11.9,25.4
17,28
12.4,24
6.3,23.1
6.4,29.6
10.6,35
14.8,57
20.5,35.2
9.3,33.1
6.8,36.1
2.9,47.1
6.3,33.5
13.8,42.2
14.6,37.1
4.8,100.3
3.9,128
9.5,23.4
18.9,30.1
14.1,33.8
6.9,58.1
8.2,40.9
4.4,66.8
6.6,42.5
5.4,21.1
10.1,29.5
19.8,29.9
24,34
4.6,34
9.2,39.4
7.2,35.7
9.1,33.7
3.1,25.9
3.8,30.9
4.8,33.9
3.7,114.2
9.4,25.5
11.1,26.9
9,26.1
6.2,22.6
17.4,35.3
10.9,29.9
11.4,29.2
12.3,32.1
3.5,40.9
3.1,30.4
2.3,22.3
9.9,28.1
11,28.8
11.4,29
10.8,35.9
9.9,43.9
12,29.2
1.7,49.1
5.6,30.6
8.4,25.2
6.1,27
9.8,25
14.7,30.1
15.2,36.2
7.6,24.4
7.6,26.2
9.9,28.8
7.7,29.7
11.5,27.8
11.4,22.7
8.2,35.3
7.4,24.6
7.4,28.3
9.9,25.7
12,32.1
8.2,47.1
6.4,123.5
7.9,24.4
9.9,27.5
11.6,29.4
2.4,43.6
1.2,89.8
2.5,44.1
2.6,41.8
2.3,19.3
3.2,17.4
5.4,20
17.6,30.8
10.8,38.8
6.6,27.9
7,24.4
11.4,33.7
6.9,22
13.6,27.9
4.5,31.3
11.7,28
10.6,26.1
5.5,40.5
3.4,31.8
2.1,27.4
14.2,26.7
19.9,39.8
4.1,46
16,30
17.9,40.6
7.8,23.6
9.1,21.6
10.3,24.8
6.9,55.4
2.3,199.7
5,39.3
14.6,32.4
7.9,23.6
9.7,23.8
18.8,33.4
4.6,29.4
2.5,33.5
7.8,20.1
12.6,24.8
6.6,35.1
1.8,24.6
6.5,30.7
4.3,19.7
6.6,17.1
11.2,23.2
6.1,31.9
10.3,28.5
5.6,25.6
7.5,26.7
5.5,34.9
8.2,27.1
12.9,26.4
10.4,29.2
14.6,27.6
8.6,24.2
8,27.7
7.5,37.5
5,27.2
6.3,35.5
3.9,27.5
5.5,17.8
1.4,18.7
6.9,20.6
14.8,27.9
10.2,25.4
4.4,30
3.5,65.6
5.9,32.9
6.3,26.8
3.8,128.5
7.4,52.4
9.7,65
16.6,45.3
19.2,32
13.6,24.3
3.8,99.5
3.4,48
6.9,25.5
6.7,16.5
12.9,27.3
7.1,13.9
8.4,14.1
16.4,21.9
4.9,20.6
11.3,24.7
8.3,9.1
14.1,20
17.7,24.2
20.8,25.1
7.9,11.6
10.3,13.6
13.8,25.5
16.4,27.2
18,25.8
16,26.4
16.9,16.1
9.5,11.5
15.2,23.1
8.8,18.8
16.3,20.7
15.2,31.8
13.1,16.6
14.7,17.4
11.5,30.6
5.1,109.7
10.7,17.1
13,22
10.3,16.3
20,25.8
10.4,23
6.4,19.1
12.4,23.6
8.7,25.2
8.4,20.4
8.5,19.3
9.2,17.6
9.2,20.1
8.5,17.7
13,18.7
8.5,20.4
3.2,35.3
6,27.5
8.4,16.4
9.3,23.1
8,20
12.5,23
6.9,25.7
7.7,15.9
8.9,21.1
8.6,24.3
8.6,19.6
9.3,21
10,21.5
7.8,27.6
7.8,22.3
10.6,23.2
9.1,21.7
4.8,38.7
13.4,35.7
11.8,27.1
8.9,24.2
4.9,19.5
8,18.7
5,41.5
12,32
7.8,27.4
3.8,64.9
8.5,38.6
5.2,28.1
7.9,25.7
7.2,20.5
5.8,19.3
7.5,18.9
9.9,18.4
6.7,19.6
7.7,19.8
15.7,30
5.9,24.7
7.9,20.3
8.7,21.1
11.3,23.1
6.8,19.3
4.1,18.4
5.6,22.7
9.7,25.2
14,25.4
8.7,28.1
4.5,20.9
3.8,16.6
2.6,16
5.4,19.7
17,23.2
30.6,45.5
4.4,29.4
9.5,20.5
7.2,18.8
19,32.7
25.9,42.2
26.3,58.2
4.3,26.5
7.3,23.4
5.2,22.3
6.3,36.5
8,30.9
6.8,27.2
4.8,22.3
5.5,33.3
6.3,23.3
13.3,29.7
10.9,22.6
7.2,21.1
12,49.6
5.2,18.7
10.9,20.8
14.1,25.1
17.9,28.9
15.1,26.9
11.5,21.1
7.3,37.4
3.9,23.1
3.8,30.4
