nitrogen,radiation
15.9,0.362
15.8,0.362
18.9,0.336
31.8,0.342
26.1,0.268
3.2,0.243
7.4,0.316
7.4,0.234
11.3,0.357
18.1,0.387
22.8,0.377
8,0.374
4.7,0.395
6.9,0.377
9.2,0.398
18.4,0.398
13,0.403
8.7,0.41
1.7,0.4
7.7,0.397
17.5,0.41
6.4,0.389
5.1,0.397
20.8,0.422
10.4,0.425
5.1,0.426
8.2,0.427
12.1,0.396
5.5,0.374
4.6,0.342
8.8,0.375
6.2,0.305
9,0.443
14.6,0.449
24.9,0.449
16.6,0.434
17,0.361
28.8,0.173
6.4,0.359
12.4,0.458
3,0.446
2.9,0.465
6.2,0.306
13.4,0.466
22.6,0.468
4.3,0.435
2.1,0.459
9.2,0.475
7.2,0.412
14.6,0.477
17.1,0.485
13.7,0.478
6.1,0.386
6.5,0.459
3.1,0.487
4.3,0.472
5.6,0.482
12.4,0.49
6.7,0.491
5.9,0.492
8.2,0.493
1.4,0.484
6,0.493
7,0.494
8.3,0.501
8.4,0.468
9.1,0.492
8.5,0.506
4.5,0.508
6.3,0.511
9.8,0.517
14.3,0.519
11.4,0.463
6.2,0.491
4.6,0.35
1.2,0.436
1.5,0.445
3.3,0.422
1,0.338
10.2,0.463
14.7,0.51
5,0.514
4.3,0.486
7.2,0.506
8.5,0.474
11.3,0.51
16.2,0.515
23.3,0.523
6,0.481
4.5,0.36
9,0.404
14.3,0.327
11.1,0.326
6.6,0.217
16.8,0.328
6.3,0.304
4.1,0.341
17.2,0.35
26,0.335
28.6,0.311
24.3,0.349
15.1,0.335
7.5,0.344
16.8,0.356
12.7,0.362
16.4,0.356
11.9,0.344
14.2,0.369
23.4,0.363
8.8,0.366
12.4,0.359
16.1,0.37
16,0.38
6.4,0.327
2.2,0.385
8.2,0.371
8.3,0.386
9.1,0.389
7.9,0.332
5.2,0.273
11.7,0.402
3.9,0.317
6.9,0.279
4,0.408
5,0.412
4.9,0.415
15.2,0.418
26.7,0.335
21.4,0.432
6.9,0.437
4.5,0.393
12.2,0.427
4.7,0.409
4.3,0.423
11,0.416
10.2,0.406
12,0.448
9.4,0.443
11.7,0.45
15,0.429
10,0.454
12.7,0.493
11.8,0.465
3.5,0.449
5.2,0.451
2.9,0.457
1.8,0.421
5.7,0.455
4.3,0.441
2,0.382
3.6,0.312
5.2,0.475
11.9,0.495
15.4,0.488
10.4,0.478
4.5,0.48
12.1,0.48
6.3,0.408
4.2,0.479
4.5,0.458
3.8,0.465
5.1,0.437
9.8,0.479
7.5,0.477
9.1,0.479
5,0.445
6,0.469
3.9,0.357
5.4,0.487
5.1,0.466
8.4,0.505
3.1,0.502
2.5,0.49
8.5,0.469
9.8,0.492
8.6,0.424
4.6,0.453
3.9,0.495
7.7,0.502
1.6,0.502
2.5,0.486
6.9,0.425
10.3,0.393
17.2,0.352
26.9,0.356
23.7,0.361
7.3,0.369
15,0.315
10.1,0.299
13.9,0.333
23.8,0.278
11.2,0.37
4.4,0.302
3.2,0.196
9.3,0.338
13.1,0.371
10.7,0.353
4.4,0.351
11.8,0.323
7.2,0.325
2,0.395
9.4,0.377
16.6,0.411
23.8,0.396
16.2,0.381
8.6,0.359
7.6,0.305
3.1,0.351
7.6,0.092
7.5,0.386
6.2,0.422
11.9,0.429
17,0.433
12.4,0.405
6.3,0.381
6.4,0.443
10.6,0.45
14.8,0.441
20.5,0.419
9.3,0.362
6.8,0.373
2.9,0.448
6.3,0.376
13.8,0.454
14.6,0.454
4.8,0.437
3.9,0.441
9.5,0.477
18.9,0.478
14.1,0.424
6.9,0.447
8.2,0.47
4.4,0.423
6.6,0.476
5.4,0.475
10.1,0.301
19.8,0.479
24,0.477
4.6,0.419
9.2,0.446
7.2,0.242
9.1,0.453
3.1,0.488
3.8,0.455
4.8,0.306
3.7,0.434
9.4,0.51
11.1,0.509
9,0.508
6.2,0.509
17.4,0.465
10.9,0.502
11.4,0.507
12.3,0.514
3.5,0.512
3.1,0.463
2.3,0.458
9.9,0.516
11,0.522
11.4,0.52
10.8,0.523
9.9,0.523
12,0.532
1.7,0.502
5.6,0.438
8.4,0.502
6.1,0.52
9.8,0.523
14.7,0.535
15.2,0.423
7.6,0.526
7.6,0.538
9.9,0.533
7.7,0.53
11.5,0.535
11.4,0.347
8.2,0.287
7.4,0.355
7.4,0.34
9.9,0.355
12,0.361
8.2,0.24
6.4,0.108
7.9,0.304
9.9,0.145
11.6,0.126
2.4,0.225
1.2,0.351
2.5,0.394
2.6,0.313
2.3,0.161
3.2,0.393
5.4,0.294
17.6,0.398
10.8,0.385
6.6,0.36
7,0.375
11.4,0.393
6.9,0.422
13.6,0.408
4.5,0.363
11.7,0.325
10.6,0.417
5.5,0.436
3.4,0.353
2.1,0.425
14.2,0.402
19.9,0.432
4.1,0.434
16,0.378
17.9,0.356
7.8,0.427
9.1,0.455
10.3,0.458
6.9,0.456
2.3,0.36
5,0.459
14.6,0.21
7.9,0.419
9.7,0.47
18.8,0.466
4.6,0.449
2.5,0.372
7.8,0.477
12.6,0.484
6.6,0.461
1.8,0.486
6.5,0.316
4.3,0.416
6.6,0.48
11.2,0.489
6.1,0.44
10.3,0.489
5.6,0.497
7.5,0.448
5.5,0.497
8.2,0.508
12.9,0.457
10.4,0.507
14.6,0.507
8.6,0.51
8,0.495
7.5,0.385
5,0.459
6.3,0.462
3.9,0.346
5.5,0.442
1.4,0.247
6.9,0.417
14.8,0.513
10.2,0.506
4.4,0.484
3.5,0.524
5.9,0.523
6.3,0.455
3.8,0.299
7.4,0.521
9.7,0.514
16.6,0.516
19.2,0.527
13.6,0.507
3.8,0.4
3.4,0.52
