nitrogen,temp
15.9,65.2
15.8,68.4
18.9,67
31.8,66.9
26.1,65.9
3.2,69
7.4,60.6
7.4,52.2
11.3,55.2
18.1,59.9
22.8,61.9
8,63.4
4.7,61
6.9,65.3
9.2,65.1
18.4,65.4
13,65.7
8.7,66.9
1.7,53.3
7.7,54.6
17.5,64.5
6.4,70.8
5.1,61.1
20.8,56.5
10.4,62.4
5.1,66.2
8.2,61.7
12.1,66.5
5.5,68.4
4.6,59.9
8.8,55
6.2,50.6
9,52.5
14.6,60.3
24.9,67
16.6,73
17,69
28.8,68.4
6.4,67.8
12.4,67.8
3,66.9
2.9,62.4
6.2,59
13.4,63.8
22.6,71.4
4.3,73.4
2.1,60.9
9.2,60.6
7.2,65.1
14.6,65.7
17.1,71.8
13.7,75.1
6.1,72.7
6.5,72.7
3.1,73.1
4.3,73.4
5.6,66.5
12.4,65.7
6.7,71.7
5.9,63.8
8.2,66.2
1.4,59.5
6,58.6
7,69.3
8.3,73.8
8.4,78.5
9.1,80.2
8.5,71.9
4.5,68.7
6.3,68.5
9.8,72.9
14.3,76.5
11.4,75.3
6.2,78.7
4.6,73.6
1.2,77.2
1.5,78.8
3.3,70.9
1,62.4
10.2,66.3
14.7,77.2
5,79.1
4.3,78.7
7.2,79.3
8.5,78.1
11.3,78.6
16.2,70.8
23.3,77
6,81.8
4.5,78.7
9,73.5
14.3,54
11.1,54.5
6.6,57.3
16.8,62.6
6.3,65.9
4.1,64.7
17.2,59.2
26,63.2
28.6,65.9
24.3,67.9
15.1,68.6
7.5,62.8
16.8,64.1
12.7,68
16.4,70.8
11.9,71.3
14.2,71
23.4,73.2
8.8,76.3
12.4,75.5
16.1,76.2
16,76.4
6.4,66.8
2.2,59.7
8.2,65.8
8.3,64.7
9.1,67.8
7.9,58.8
5.2,57.4
11.7,65.6
3.9,68.6
6.9,56.5
4,58.8
5,65.4
4.9,64.1
15.2,58.8
26.7,65.2
21.4,71.2
6.9,74.1
4.5,70.5
12.2,68.7
