ozone,carbon 
32,0.3
25,0.5
22,0.5
35,0.2
31,0.3
32,0.2
38,0.3
25,0.4
32,0.2
39,0.2
38,0.2
39,0.2
36,0.3
40,0.3
35,0.2
33,0.3
32,0.2
42,0.2
38,0.2
33,0.3
21,0.4
19,0.4
23,0.2
23,0.2
24,0.2
33,0.2
40,0.2
39,0.2
33,0.3
24,0.4
34,0.3
38,0.2
41,0.2
36,0.3
34,0.4
27,0.3
41,0.2
33,0.2
36,0.2
43,0.2
45,0.3
36,0.3
41,0.2
53,0.2
39,0.2
31,0.4
39,0.3
47,0.2
49,0.2
50,0.2
48,0.2
51,0.2
36,0.3
33,0.4
26,0.4
39,0.3
46,0.3
46,0.3
45,0.3
40,0.2
43,0.2
45,0.2
47,0.2
45,0.2
41,0.3
51,0.3
51,0.3
36,0.3
35,0.2
37,0.3
32,0.2
36,0.1
31,0.1
29,0.2
21,0.2
26,0.2
29,0.2
36,0.3
47,0.3
46,0.3
51,0.3
47,0.3
50,0.3
49,0.2
43,0.3
34,0.3
32,0.3
39,0.2
43,0.2
39,0.2
38,0.2
33,0.2
31,0.3
35,0.3
31,0.3
30,0.3
32,0.3
32,0.3
30,0.2
35,0.2
40,0.2
28,0.4
21,0.4
34,0.3
48,0.2
50,0.2
41,0.2
40,0.2
41,0.2
40,0.2
32,0.4
35,0.3
40,0.3
35,0.3
33,0.3
39,0.2
38,0.3
41,0.3
31,0.4
37,0.3
39,0.2
37,0.3
40,0.2
41,0.4
28,0.4
43,0.2
30,0.4
25,0.4
35,0.3
33,0.3
33,0.3
40,0.3
50,0.3
41,0.2
33,0.3
38,0.3
34,0.3
33,0.5
43,0.3
43,0.3
36,0.3
42,0.4
37,0.3
37,0.2
38,0.3
41,0.3
44,0.3
38,0.3
45,0.3
38,0.4
41,0.2
38,0.3
35,0.3
35,0.2
34,0.3
37,0.3
35,0.4
40,0.3
40,0.2
36,0.2
41,0.3
46,0.3
31,0.3
34,0.3
39,0.3
39,0.3
34,0.4
43,0.3
43,0.2
43,0.2
48,0.2
45,0.3
50,0.2
49,0.2
45,0.2
40,0.3
32,0.4
26,0.3
36,0.3
40,0.2
41,0.2
42,0.3
42,0.3
45,0.3
26,0.7
21,0.8
29,0.7
33,0.1
35,0.1
33,0.1
41,0.1
42,0.1
41,0.1
42,0.2
44,0.2
37,0.1
40,0.1
41,0.1
41,0.1
42,0.1
45,0
41,0
42,0
44,0.1
42,0.1
39,0.1
41,0.1
47,0.1
45,0.2
38,0.1
38,0.1
42,0.1
43,0.1
47,0.1
50,0.2
51,0.1
51,0.1
55,0.2
46,0.1
50,0.2
44,0.1
42,0.1
40,0.1
42,0.1
44,0.1
41,0.1
36,0.2
43,0.1
42,0.1
45,0.1
43,0.2
44,0.1
44,0.1
46,0.1
45,0.2
38,0.2
50,0.1
49,0.1
47,0.1
51,0.1
37,0.1
29,0.3
18,0.5
34,0.1
34,0.2
42,0.2
37,0.4
20,0.3
28,0.2
36,0.1
31,0.1
30,0.1
40,0.1
43,0.1
40,0.2
38,0.2
36,0.2
32,0.2
42,0.2
32,0.3
27,0.1
45,0.1
42,0.1
41,0.1
34,0.1
39,0.1
35,0.1
33,0.3
32,0.2
41,0.1
37,0.2
45,0.2
46,0.2
42,0.2
43,0.2
38,0.2
41,0.1
42,0.1
39,0.1
45,0.1
43,0.1
36,0.2
30,0.2
44,0.2
39,0.2
37,0.2
40,0.1
36,0.1
39,0.1
39,0.2
38,0.1
38,0.1
37,0.2
43,0.1
38,0.2
34,0.2
45,0.1
41,0.1
41,0.1
37,0.2
44,0.2
34,0.2
43,0.1
48,0.1
39,0.2
45,0.3
37,0.2
39,0.2
38,0.1
42,0.1
30,0.1
32,0.1
34,0.1
41,0.2
45,0.2
37,0.1
39,0.1
42,0.1
46,0.1
38,0.2
39,0.1
35,0.1
33,0.2
36,0.1
33,0.1
35,0.2
30,0.2
30,0.1
37,0.1
41,0.2
44,0.1
43,0.1
