pm10,humidity
22.9,16.3
33.7,14.9
26.8,14.6
39.4,13.6
38.5,12
32.2,8.7
43.2,15.6
47.3,40.7
22.4,38.5
23.6,29.2
38,26.4
80.2,17.6
20.3,18.7
24.3,16.3
22.5,18.1
28.2,13.8
26.6,12.7
30.8,12.9
34.6,37.6
20.6,32.3
29.9,22.8
93.5,10.8
78,12.2
28.3,11.4
25,10.8
25.9,10.1
23.1,19
28,17.3
110.4,16.6
30.6,27.9
23.7,25.3
18,40.1
14.8,33.9
20.5,18.9
30.4,12.8
26.7,10.3
27.1,7.3
42.3,12.2
25.8,35.4
21.9,36.9
56,21.9
13,32.4
20,46
20.2,38.1
28.8,20.3
77.7,14.4
31,16.8
19.5,21.9
26.2,30.5
22.7,27.5
23.9,12.5
24.9,13.6
40.8,35.4
20.9,33.4
30.3,16.5
94.1,16.2
47.5,16.5
31.6,14.8
43.8,12.5
29.3,19.6
22.5,19
44.1,34.4
19.8,36.9
23.4,22.5
21.7,17.5
26.7,12.1
79,10
35.4,11.1
32.7,11.7
25.9,19.5
23.8,14.8
25.2,11.4
32.5,23.3
30.3,35.6
31.9,39.9
34.5,28.9
82.1,17.2
36.5,29.2
18.8,50.5
23.3,42.6
27.3,20.4
21.4,9.6
40.6,9.9
40.4,9.5
47.9,9
52.1,10.1
47.4,12
28.5,12.5
36.1,9
33,9.2
27.5,27.4
20.3,41.7
22,30.1
21.5,20
22.5,20.8
30.7,22.1
28.1,27.9
30.3,27
30.8,17.6
47.9,15.3
51.5,16.8
45.8,16
38.5,25.7
34.6,39.5
36.1,21.9
30.7,22.2
31.9,13.8
30.3,12
27.7,14.8
45,13.8
30.6,17.6
35,16.2
28.3,16
34.5,11.4
21.6,15.8
26.1,20.6
48.2,16.1
26.1,16.4
34.8,14.9
38.6,14.4
26.7,10.9
25.3,11.5
28.4,10.8
32.8,29.6
32.7,41.3
25.4,42.3
27.2,23.2
23.5,9.9
23.7,10.4
25.3,8.9
33.1,9.2
29.7,12.3
25.4,12.1
24,7.9
29,31.1
21.1,26.3
45.9,12.2
107.9,15.6
22.6,18.7
48.3,15.1
53.2,23.8
16.1,51.4
14.3,27.7
20.1,10.4
27.7,9.9
25.4,14
30.2,23.1
26,14.8
36.8,12.7
22,12.1
27.7,20.5
25.8,25.9
20.7,30
24,24.2
21.4,23.1
26.4,16.9
20.1,10.4
26.8,12.1
115.3,20.4
25.2,18.2
28.6,13.4
20.5,11.9
20.9,12.7
24,28.8
26.4,27.2
29.7,20.8
26.1,20.7
43.1,9.2
41,13
24.9,13.2
27.8,17.7
25.5,30.2
50.4,36.7
27.1,38.4
21.8,34.3
38.7,22.2
40.3,17.8
29.8,8.6
39.6,16
24.7,10.3
35.2,9.4
38.5,12.1
27.8,11.5
22.9,16.4
22.7,45.2
22.7,30.8
28.4,24.8
32,24.6
91.6,22.2
24.3,20.9
24.3,20
49.1,25.4
19.2,16.3
24.4,12
37.6,14.8
27.3,16.7
36.9,15.6
43.8,27.3
48.1,27.5
28.2,30.6
21.3,27.5
23,26.4
25.4,12.6
28,13.1
24,11.1
23.1,9.5
29.6,9
35,12.3
57,16.1
35.2,14
33.1,12.7
36.1,17.7
47.1,18.3
33.5,13.9
42.2,27.1
37.1,15.1
100.3,11.5
128,10
23.4,10.8
30.1,8.2
33.8,6.9
58.1,6.8
40.9,10
66.8,16.9
42.5,22.3
21.1,21.3
29.5,24.5
29.9,18.6
34,12.5
34,33.7
39.4,26
35.7,20.7
33.7,17.2
25.9,14.8
30.9,14
33.9,12.8
114.2,12.5
25.5,14.8
26.9,12.9
26.1,14.4
22.6,12.4
35.3,10.8
29.9,9.4
29.2,7.2
32.1,7.9
40.9,9.2
30.4,12.5
22.3,15.5
28.1,14.5
28.8,9.6
29,9.6
35.9,7
43.9,6
29.2,6.7
49.1,22.2
30.6,39.5
25.2,26
27,12.7
25,19.9
30.1,8.6
36.2,7.8
24.4,8.3
26.2,7.7
28.8,7.9
29.7,7.8
27.8,7.3
22.7,18.1
35.3,18.4
24.6,27.6
28.3,42.2
25.7,31.3
32.1,22
47.1,16.8
123.5,27.6
24.4,27.4
27.5,37.6
29.4,44.2
43.6,57.2
89.8,46.2
44.1,21.6
41.8,29.2
19.3,49.1
17.4,32.8
20,29.5
30.8,31.8
38.8,35.4
27.9,48.1
24.4,31.8
33.7,19.6
22,15.2
27.9,14.6
31.3,32
28,35.2
26.1,12.5
40.5,11.3
31.8,20
27.4,29.4
26.7,29.7
39.8,15.7
46,15.4
30,16.2
40.6,17
23.6,21.1
21.6,22.7
24.8,14.1
55.4,9.5
199.7,8.2
39.3,13.2
32.4,21.4
23.6,37.8
23.8,28.3
33.4,12.2
29.4,13.7
33.5,39.6
20.1,32.6
24.8,16.3
35.1,11.1
24.6,15
30.7,30
19.7,43
17.1,37.8
23.2,20.9
31.9,18.5
28.5,12.8
25.6,10.1
26.7,9.4
34.9,16.4
27.1,14.2
26.4,9.8
29.2,9.4
27.6,9.4
24.2,9
27.7,10.5
37.5,16.1
27.2,25.3
35.5,29.1
27.5,54.9
17.8,46.7
18.7,49.9
20.6,43.4
27.9,27.4
25.4,17.8
30,17.1
65.6,13.1
32.9,14
26.8,10.3
128.5,18.1
52.4,17.7
65,9.4
45.3,13.9
32,13.9
24.3,11.5
99.5,10.9
48,14.1
25.5,15.8
25.6,10
38.1,27.1
29,42.7
16.5,25.5
27.3,28.5
13.9,68.1
14.1,64.7
21.9,54.4
20.6,36.3
24.7,32.4
9.1,70.7
20,55.9
24.2,48.9
25.1,47
11.6,61.8
13.6,61.7
25.5,39
27.2,47.6
25.8,35.2
26.4,42.1
16.1,69.6
11.5,39.6
23.1,40.1
18.8,36.3
20.7,22.8
31.8,20.9
16.6,22.9
17.4,20.9
30.6,19.1
109.7,28.1
17.1,25
22,17.2
16.3,17.1
25.8,18.6
23,14.2
19.1,17.1
23.6,19.9
25.2,23.6
20.4,19.2
19.3,21.2
17.6,24.6
20.1,25.2
17.7,21.6
18.7,16.8
20.4,17.2
35.3,36.7
27.5,25.6
16.4,26.5
23.1,22.4
20,13.9
23,15.6
25.7,15.5
15.9,17.1
21.1,14.7
24.3,13.7
19.6,18.2
21,18.3
21.5,15.1
27.6,17.8
22.3,16.1
23.2,12.3
21.7,11.7
38.7,17.8
35.7,16.3
27.1,12.3
24.2,14.9
19.5,12.5
18.7,11
41.5,20.4
32,17.7
27.4,11.2
64.9,12.1
38.6,14.7
28.1,25.9
25.7,31.1
20.5,15.3
19.3,13.7
18.9,13.4
18.4,11.6
19.6,11.9
19.8,10.8
30,10.6
24.7,10.6
20.3,10.8
21.1,8.7
23.1,7.5
19.3,9.3
18.4,12.2
22.7,17.4
25.2,28
25.4,11.3
28.1,13.9
20.9,19.4
16.6,19.2
16,16.7
19.7,25
23.2,29.6
45.5,16.7
29.4,20.2
20.5,27.4
18.8,35.4
32.7,26.4
42.2,20.1
58.2,16.2
42.1,17.1
26.4,9.4
30,8.6
75,21.5
56.8,31
17.6,20.3
279.4,15.7
18.4,24.4
36.6,20.9
27.8,16.7
31.9,14.9
35.9,14.5
50.7,13.4
37.8,11.7
16.3,50.6
12,40.6
20.4,18.6
19.4,26.5
19.8,25.8
24,15.9
31.8,8.5
38.7,13.7
35.5,18.4
25.8,19
32,23.8
24.3,28.3
21.9,21.8
36.3,7.9
24.4,7.7
24.3,7
21.7,10.4
43.3,10.5
25,8
26.6,11.6
47.1,22.8
32.5,24.5
42.3,13
23.3,11.9
59.6,36
12.7,40.4
16.4,32.3
34.3,21.9
32.4,26.3
47.3,19
27.5,14.2
26.8,13.5
24.5,7.4
59.3,6.9
65.1,16.8
15.1,32.4
14.4,60.1
11.7,44.8
15.6,34.5
68,10.3
27.1,11.8
21.2,28.8
29.9,18.3
48.7,16.9
31.4,26.3
39,14.3
23.3,7.5
26.5,10.5
23.4,11.9
22.3,41.1
36.5,38.7
30.9,28.8
27.2,24.4
22.3,9.9
33.3,9.8
23.3,14.4
29.7,17.5
22.6,12.3
21.1,12.5
49.6,13.2
18.7,12.8
20.8,8.9
25.1,6.2
28.9,7.3
26.9,7.9
21.1,6.6
37.4,26.2
23.1,31.6
30.4,31.1
