pm10,ozone
22.9,22
33.7,26
26.8,29
39.4,17
38.5,19
32.2,38
43.2,30
47.3,37
22.4,26
23.6,22
38,28
80.2,37
20.3,41
24.3,32
22.5,33
28.2,22
26.6,27
30.8,33
34.6,35
20.6,36
29.9,27
93.5,40
78,43
28.3,21
25,35
25.9,43
23.1,44
28,31
110.4,39
30.6,39
23.7,36
18,38
14.8,33
20.5,28
30.4,21
26.7,33
27.1,36
42.3,19
25.8,38
21.9,35
56,35
13,39
20,30
20.2,28
28.8,24
77.7,41
31,46
19.5,34
26.2,39
22.7,31
23.9,34
24.9,42
40.8,47
20.9,39
30.3,38
94.1,41
47.5,46
31.6,37
43.8,40
29.3,46
22.5,43
44.1,39
19.8,35
23.4,44
21.7,49
26.7,48
79,44
35.4,49
32.7,49
25.9,41
23.8,39
25.2,37
32.5,37
30.3,48
31.9,45
34.5,43
82.1,31
36.5,33
18.8,28
23.3,32
27.3,33
21.4,42
40.6,43
40.4,39
47.9,43
52.1,38
47.4,42
28.5,43
36.1,35
33,37
27.5,33
20.3,33
22,30
21.5,31
22.5,41
30.7,30
28.1,28
30.3,30
30.8,29
47.9,26
51.5,17
45.8,21
38.5,28
34.6,33
36.1,29
30.7,28
31.9,25
30.3,30
27.7,28
45,27
30.6,35
35,30
28.3,27
34.5,27
21.6,36
26.1,44
48.2,51
26.1,42
34.8,25
38.6,23
26.7,33
25.3,37
28.4,38
32.8,43
32.7,38
25.4,39
27.2,36
23.5,37
23.7,37
25.3,42
33.1,33
29.7,32
25.4,35
24,45
29,41
21.1,43
45.9,46
107.9,47
22.6,49
48.3,42
53.2,34
16.1,45
14.3,38
20.1,36
27.7,34
25.4,39
30.2,44
26,40
36.8,36
22,40
27.7,42
25.8,43
20.7,47
24,43
21.4,48
26.4,49
20.1,46
26.8,39
115.3,44
25.2,44
28.6,45
20.5,41
20.9,56
24,49
26.4,44
29.7,41
26.1,43
43.1,36
41,32
24.9,27
27.8,46
25.5,50
50.4,49
27.1,44
21.8,32
38.7,25
40.3,22
29.8,35
39.6,31
24.7,32
35.2,38
38.5,25
27.8,32
22.9,39
22.7,38
22.7,39
28.4,36
32,40
91.6,35
24.3,33
24.3,32
49.1,42
19.2,38
24.4,33
37.6,21
27.3,19
36.9,23
43.8,23
48.1,24
28.2,33
21.3,40
23,39
25.4,33
28,24
24,34
23.1,38
29.6,41
35,36
57,34
35.2,27
33.1,41
36.1,33
47.1,36
33.5,43
42.2,45
37.1,36
100.3,41
128,53
23.4,39
30.1,31
33.8,39
58.1,47
40.9,49
66.8,50
42.5,48
21.1,51
29.5,36
29.9,33
34,26
34,39
39.4,46
35.7,46
33.7,45
25.9,40
30.9,43
33.9,45
114.2,47
25.5,45
26.9,41
26.1,51
22.6,51
35.3,36
29.9,35
29.2,37
32.1,32
40.9,36
30.4,31
22.3,29
28.1,21
28.8,26
29,29
35.9,36
43.9,47
29.2,46
49.1,51
30.6,47
25.2,50
27,49
25,43
30.1,34
36.2,32
24.4,39
26.2,43
28.8,39
29.7,38
27.8,33
22.7,31
35.3,35
24.6,31
28.3,30
25.7,32
32.1,32
47.1,30
123.5,35
24.4,40
27.5,28
29.4,21
43.6,34
89.8,48
44.1,50
41.8,41
19.3,40
17.4,41
20,40
30.8,32
38.8,35
27.9,40
24.4,35
33.7,33
22,39
27.9,38
31.3,41
28,31
26.1,37
40.5,39
31.8,37
27.4,40
26.7,41
39.8,28
46,43
30,30
40.6,25
23.6,35
21.6,33
24.8,33
55.4,40
199.7,50
39.3,41
32.4,33
23.6,38
23.8,34
33.4,33
29.4,43
33.5,43
20.1,36
24.8,42
35.1,37
24.6,37
30.7,38
19.7,41
17.1,44
23.2,38
31.9,45
28.5,38
25.6,41
26.7,38
34.9,35
27.1,35
26.4,34
29.2,37
27.6,35
24.2,40
27.7,40
37.5,36
27.2,41
35.5,46
27.5,31
17.8,34
18.7,39
20.6,39
27.9,34
25.4,43
30,43
65.6,43
32.9,48
26.8,45
128.5,50
52.4,49
65,45
45.3,40
32,32
24.3,26
99.5,36
48,40
25.5,41
25.6,42
38.1,42
29,45
16.5,26
27.3,21
13.9,29
14.1,35
21.9,23
20.6,36
24.7,31
9.1,24
20,21
24.2,13
25.1,12
11.6,23
13.6,24
25.5,31
27.2,23
25.8,21
26.4,21
16.1,18
11.5,37
23.1,26
18.8,35
20.7,31
31.8,33
16.6,34
17.4,30
30.6,27
109.7,39
17.1,39
22,29
16.3,40
25.8,30
23,38
19.1,42
23.6,32
25.2,37
20.4,37
19.3,37
17.6,32
20.1,33
17.7,35
18.7,33
20.4,41
35.3,42
27.5,41
16.4,39
23.1,42
20,44
23,37
25.7,40
15.9,41
21.1,41
24.3,42
19.6,45
21,41
21.5,42
27.6,44
22.3,42
23.2,39
21.7,41
38.7,47
35.7,45
27.1,38
24.2,38
19.5,42
18.7,43
41.5,47
32,50
27.4,51
64.9,51
38.6,55
28.1,46
25.7,50
20.5,44
19.3,42
18.9,40
18.4,42
19.6,44
19.8,41
30,36
24.7,43
20.3,42
21.1,45
23.1,43
19.3,44
18.4,44
22.7,46
25.2,45
25.4,38
28.1,50
20.9,49
16.6,47
16,51
19.7,37
23.2,29
45.5,18
29.4,34
20.5,34
18.8,42
32.7,37
42.2,20
58.2,28
42.1,36
26.4,31
30,30
75,40
56.8,43
17.6,40
279.4,38
18.4,36
36.6,32
27.8,42
31.9,32
35.9,27
50.7,45
37.8,42
16.3,41
12,34
20.4,39
19.4,35
19.8,33
24,32
31.8,41
38.7,37
35.5,45
25.8,46
32,42
24.3,43
21.9,38
36.3,41
24.4,42
24.3,39
21.7,45
43.3,43
25,36
26.6,30
47.1,44
32.5,39
42.3,37
23.3,40
59.6,36
12.7,39
16.4,39
34.3,38
32.4,38
47.3,37
27.5,43
26.8,38
24.5,34
59.3,45
65.1,41
15.1,41
14.4,37
11.7,44
15.6,34
68,43
27.1,48
21.2,39
29.9,45
48.7,37
31.4,39
39,38
23.3,42
26.5,30
23.4,32
22.3,34
36.5,41
30.9,45
27.2,37
22.3,39
33.3,42
23.3,46
29.7,38
22.6,39
21.1,35
49.6,33
18.7,36
20.8,33
25.1,35
28.9,30
26.9,30
21.1,37
37.4,41
23.1,44
30.4,43
