pm10,pm25
22.9,8.5
33.7,10.1
26.8,9.9
39.4,13.4
38.5,12.8
32.2,7.8
43.2,10
47.3,12
22.4,8.5
23.6,8.5
38,11.2
80.2,13.4
20.3,7.9
24.3,9.3
22.5,10.7
28.2,10.6
26.6,8.8
30.8,8.8
34.6,9.8
20.6,7
29.9,9.3
93.5,18.1
78,14.5
28.3,8.8
25,7.8
25.9,9.1
23.1,9.9
28,11.4
110.4,22.5
30.6,10.3
23.7,8.5
18,6.5
14.8,6
20.5,8.4
30.4,12
26.7,10.7
27.1,11.5
42.3,12
25.8,7.5
21.9,7.1
56,10.1
13,3.5
20,6
20.2,5.4
28.8,8.1
77.7,14.5
31,7
19.5,5.6
26.2,7.3
22.7,6.7
23.9,6.9
24.9,7.6
40.8,9.5
20.9,6.8
30.3,8.6
94.1,18.8
47.5,10.3
31.6,8.6
43.8,10.9
29.3,7.7
22.5,6.4
44.1,9.2
19.8,6.4
23.4,7.6
21.7,5.6
26.7,6.3
79,16.3
35.4,9.3
32.7,8
25.9,7.7
23.8,7
25.2,7.6
32.5,11.1
30.3,11.7
31.9,8.7
34.5,7.9
82.1,15.1
36.5,7.4
18.8,5
23.3,6.8
27.3,8
21.4,6.6
40.6,8.9
40.4,9.6
47.9,11.6
52.1,11.5
47.4,10.6
28.5,10.5
36.1,12.1
33,10.4
27.5,9.3
20.3,6.6
22,5.8
21.5,3.9
22.5,4.7
30.7,9.4
28.1,9.2
30.3,7
30.8,7.4
47.9,15.8
51.5,12.8
45.8,10.2
38.5,10.5
34.6,7.6
36.1,7.8
30.7,7.1
31.9,7.4
30.3,6.7
27.7,7.3
45,12.3
30.6,8.8
35,9.2
28.3,8.4
34.5,8.4
21.6,32.7
26.1,8.5
48.2,19.2
26.1,13.4
34.8,17.6
38.6,17.1
26.7,10.2
25.3,14.2
28.4,14.1
32.8,11.1
32.7,9.5
25.4,6.2
27.2,6.3
23.5,5.7
23.7,6.3
25.3,6.5
33.1,7.2
29.7,6.8
25.4,6.3
24,5.1
29,5.9
21.1,4.3
45.9,9
107.9,21.3
22.6,4.5
48.3,9.4
53.2,10.1
16.1,4.6
14.3,3.3
20.1,4.8
27.7,4.9
25.4,5
30.2,4.1
26,5.2
36.8,7.2
22,4.6
27.7,6.2
25.8,5.8
20.7,4.8
24,5.8
21.4,4
26.4,6
20.1,5.1
26.8,5.3
115.3,18.4
25.2,5.1
28.6,5.9
20.5,4.2
20.9,4.6
24,9
26.4,7
29.7,7.4
26.1,6
43.1,8.5
41,9
24.9,7.4
27.8,5.8
25.5,8.2
50.4,13.4
27.1,13.3
21.8,5.7
38.7,10.5
40.3,11.1
29.8,6.1
39.6,8.2
24.7,4.6
35.2,7.7
38.5,9.5
27.8,6.4
22.9,5.7
22.7,6.3
22.7,5.9
28.4,7.2
32,9.4
91.6,13.7
24.3,6.9
24.3,6.1
49.1,8.7
19.2,4.7
24.4,6.4
37.6,10.5
27.3,7.6
36.9,7.9
43.8,9.5
48.1,8.9
28.2,6.9
21.3,5.8
23,5.7
25.4,7.3
28,8.1
24,6.4
23.1,6.2
29.6,6.7
35,9.6
57,12
35.2,8.1
33.1,7.1
36.1,8.1
47.1,10.1
33.5,8.9
42.2,13.5
37.1,9.4
100.3,17.5
128,19.2
23.4,5.4
30.1,8.3
33.8,9.9
58.1,14.3
40.9,11.1
66.8,13.9
42.5,21.6
21.1,6.5
29.5,9
29.9,9.3
34,11
34,10
39.4,8.9
35.7,9.7
33.7,11.4
25.9,7.1
30.9,7.7
33.9,11.6
114.2,20.6
25.5,7
26.9,6.5
26.1,6.2
22.6,6.1
35.3,9.5
29.9,7.1
29.2,7.1
32.1,7.7
40.9,7.7
30.4,7.9
22.3,6.6
28.1,7.5
28.8,6.6
29,6.8
35.9,9.7
43.9,16.6
29.2,7.6
49.1,12.7
30.6,8.2
25.2,7.6
27,8
25,6.8
30.1,7.3
36.2,8.9
24.4,5.8
