pm10,wind
22.9,5
33.7,8.2
26.8,5.5
39.4,4.1
38.5,4
32.2,8.8
43.2,9.1
47.3,5.6
22.4,4.7
23.6,4.7
38,4.4
80.2,12
20.3,10.1
24.3,9.1
22.5,6.6
28.2,4.5
26.6,5.4
30.8,6.8
34.6,12.4
20.6,9.3
29.9,5.9
93.5,10.4
78,13.3
28.3,3.9
25,7.9
25.9,8.3
23.1,6.3
28,7
110.4,9.6
30.6,11.1
23.7,7.5
18,6.5
14.8,5.8
20.5,3.6
30.4,3.5
26.7,7
27.1,5.6
42.3,4.7
25.8,7.3
21.9,4.8
56,10.2
13,8.8
20,7.4
20.2,4.2
28.8,4.2
77.7,9.9
31,11.6
19.5,4.6
26.2,8.2
22.7,4.4
23.9,5.9
24.9,6.3
40.8,11
20.9,7
30.3,9.8
94.1,10.7
47.5,12.3
31.6,6.6
43.8,8.3
29.3,11.2
22.5,5.9
44.1,12.5
19.8,8.8
23.4,7.3
21.7,8
26.7,9.9
79,8.8
35.4,8.1
32.7,9.6
25.9,10.5
23.8,7.7
25.2,5.8
32.5,8
30.3,7.6
31.9,10.1
34.5,8.4
82.1,9.6
36.5,10.5
18.8,11.8
23.3,4.7
27.3,5.7
21.4,6.4
40.6,8.6
40.4,7.9
47.9,7.9
52.1,8.2
47.4,10.1
28.5,6.4
36.1,4.3
33,5.9
27.5,6.3
20.3,6.1
22,5.2
21.5,6.5
22.5,10.5
30.7,5.7
28.1,7.3
30.3,10.8
30.8,4.7
47.9,3.7
51.5,3.4
45.8,3.8
38.5,7
34.6,9.5
36.1,6.9
30.7,4.9
31.9,4.8
30.3,7
27.7,5.1
45,3.5
30.6,5
35,5.1
28.3,4.9
34.5,5.6
21.6,13
26.1,9.6
48.2,12.6
26.1,6
34.8,4.6
38.6,5.1
26.7,8.7
25.3,9.8
28.4,4.3
32.8,9.2
32.7,9.5
25.4,6.6
27.2,5.9
23.5,6.5
23.7,5.9
25.3,6.2
33.1,6.3
29.7,8.8
25.4,6.8
24,7.9
29,12.1
21.1,9.8
45.9,11
107.9,15.2
22.6,9.5
48.3,11.7
53.2,12.2
16.1,8.2
14.3,7.1
20.1,5.6
27.7,6.6
25.4,7.2
30.2,10.6
26,6.8
36.8,8.7
22,8.2
27.7,8.8
25.8,10.9
20.7,10.6
24,6.7
21.4,7.4
26.4,6.6
20.1,7.9
26.8,8.8
115.3,12.3
25.2,10.3
28.6,10.3
20.5,8.2
20.9,7.4
24,7.9
26.4,7.2
29.7,7.8
26.1,7.7
43.1,10
41,9.8
24.9,8.8
27.8,9.2
25.5,10.8
50.4,8.3
27.1,7.1
21.8,6.7
38.7,5.1
