pm25,radiation
8.5,0.362
10.1,0.362
9.9,0.336
13.4,0.342
12.8,0.268
7.8,0.243
10,0.316
12,0.234
8.5,0.357
8.5,0.387
11.2,0.377
13.4,0.374
7.9,0.395
9.3,0.377
10.7,0.398
10.6,0.398
8.8,0.403
8.8,0.41
9.8,0.4
7,0.397
9.3,0.41
18.1,0.389
14.5,0.397
8.8,0.422
7.8,0.425
9.1,0.426
9.9,0.427
11.4,0.396
22.5,0.374
10.3,0.342
8.5,0.375
6.5,0.305
6,0.443
8.4,0.449
12,0.449
10.7,0.434
11.5,0.361
12,0.173
7.5,0.359
7.1,0.458
10.1,0.446
3.5,0.465
6,0.306
5.4,0.466
8.1,0.468
14.5,0.435
7,0.459
5.6,0.475
7.3,0.412
6.7,0.477
6.9,0.485
7.6,0.478
9.5,0.386
6.8,0.459
8.6,0.487
18.8,0.472
10.3,0.482
8.6,0.49
10.9,0.491
7.7,0.492
6.4,0.493
9.2,0.484
6.4,0.493
7.6,0.494
5.6,0.501
6.3,0.468
16.3,0.492
9.3,0.506
8,0.508
7.7,0.511
7,0.517
7.6,0.519
11.1,0.463
11.7,0.491
8.7,0.35
7.9,0.436
15.1,0.445
7.4,0.422
5,0.338
6.8,0.463
8,0.51
6.6,0.514
8.9,0.486
9.6,0.506
11.6,0.474
11.5,0.51
10.6,0.5
10.5,0.515
12.1,0.523
10.4,0.481
9.3,0.36
6.6,0.404
5.8,0.327
3.9,0.326
4.7,0.217
9.4,0.328
9.2,0.304
7,0.341
7.4,0.35
15.8,0.335
12.8,0.311
10.2,0.349
10.5,0.335
7.6,0.344
7.8,0.356
7.1,0.362
7.4,0.356
6.7,0.344
7.3,0.369
12.3,0.363
8.8,0.366
9.2,0.359
8.4,0.37
8.4,0.38
32.7,0.327
6.8,0.385
7.2,0.371
7,0.386
6,0.389
8.6,0.332
4.2,0.273
4.6,0.402
43.2,0.317
15.2,0.279
7.2,0.408
8.5,0.412
19.2,0.415
13.4,0.418
17.6,0.335
17.1,0.432
10.2,0.437
14.2,0.393
14.1,0.427
11.1,0.409
9.5,0.423
6.2,0.416
6.3,0.406
5.7,0.448
6.3,0.443
6.5,0.45
7.2,0.429
6.8,0.454
6.3,0.493
5.1,0.465
5.9,0.449
4.3,0.451
9,0.457
21.3,0.421
4.5,0.455
9.4,0.441
10.1,0.382
4.6,0.312
3.3,0.475
4.8,0.495
4.9,0.488
5,0.478
4.1,0.48
5.2,0.48
7.2,0.408
4.6,0.479
6.2,0.458
5.8,0.465
4.8,0.437
5.8,0.479
4,0.477
6,0.479
5.1,0.445
5.3,0.469
18.4,0.357
5.1,0.487
5.9,0.466
4.2,0.505
4.6,0.502
9,0.49
7,0.469
7.4,0.492
6,0.424
8.5,0.453
9,0.495
7.4,0.502
5.8,0.502
8.2,0.486
13.4,0.425
13.3,0.393
5.7,0.352
10.5,0.356
11.1,0.361
6.1,0.369
8.2,0.315
4.6,0.299
7.7,0.333
9.5,0.278
6.4,0.37
5.7,0.302
6.3,0.196
5.9,0.338
7.2,0.371
9.4,0.353
13.7,0.351
6.9,0.323
6.1,0.325
8.7,0.395
4.7,0.377
6.4,0.411
10.5,0.396
7.6,0.381
7.9,0.359
9.5,0.305
8.9,0.351
6.9,0.092
5.8,0.386
5.7,0.422
7.3,0.429
8.1,0.433
