pm25,temp
8.5,65.2
10.1,68.4
9.9,67
13.4,66.9
12.8,65.9
7.8,69
10,60.6
12,52.2
8.5,55.2
8.5,59.9
11.2,61.9
13.4,63.4
7.9,61
9.3,65.3
10.7,65.1
10.6,65.4
8.8,65.7
8.8,66.9
9.8,53.3
7,54.6
9.3,64.5
18.1,70.8
14.5,61.1
8.8,56.5
7.8,62.4
9.1,66.2
9.9,61.7
11.4,66.5
22.5,68.4
10.3,59.9
8.5,55
6.5,50.6
6,52.5
8.4,60.3
12,67
10.7,73
11.5,69
12,68.4
7.5,67.8
7.1,67.8
10.1,66.9
3.5,62.4
6,59
5.4,63.8
8.1,71.4
14.5,73.4
7,60.9
5.6,60.6
7.3,65.1
6.7,65.7
6.9,71.8
7.6,75.1
9.5,72.7
6.8,72.7
8.6,73.1
18.8,73.4
10.3,66.5
8.6,65.7
10.9,71.7
7.7,63.8
6.4,66.2
9.2,59.5
6.4,58.6
7.6,69.3
5.6,73.8
6.3,78.5
16.3,80.2
9.3,71.9
8,68.7
7.7,68.5
7,72.9
7.6,76.5
11.1,75.3
11.7,78.7
8.7,73.6
7.9,77.2
15.1,78.8
7.4,70.9
5,62.4
6.8,66.3
8,77.2
6.6,79.1
8.9,78.7
9.6,79.3
11.6,78.1
11.5,78.6
10.6,74.6
10.5,70.8
12.1,77
10.4,81.8
9.3,78.7
6.6,73.5
5.8,54
3.9,54.5
4.7,57.3
9.4,62.6
9.2,65.9
7,64.7
7.4,59.2
15.8,63.2
12.8,65.9
10.2,67.9
10.5,68.6
7.6,62.8
7.8,64.1
7.1,68
7.4,70.8
6.7,71.3
7.3,71
12.3,73.2
8.8,76.3
9.2,75.5
8.4,76.2
8.4,76.4
32.7,66.8
6.8,59.7
7.2,65.8
7,64.7
6,67.8
8.6,58.8
4.2,57.4
4.6,65.6
43.2,68.6
15.2,56.5
7.2,58.8
8.5,65.4
19.2,64.1
13.4,58.8
17.6,65.2
17.1,71.2
10.2,74.1
14.2,70.5
14.1,68.7
11.1,72.5
9.5,73.4
6.2,71.2
6.3,75.7
5.7,74.1
6.3,73.6
6.5,74.5
7.2,75.8
6.8,76.6
6.3,77.1
5.1,74.8
5.9,65.7
4.3,67.7
9,78.1
21.3,74.8
4.5,67.8
9.4,75.4
10.1,74.5
4.6,52.1
3.3,60.1
4.8,70.7
4.9,75.3
5,75.6
4.1,68.9
5.2,76.6
7.2,80.5
4.6,78.4
6.2,74.8
5.8,67.1
4.8,61.3
5.8,68.2
4,74.5
6,79.7
5.1,80.4
5.3,77.7
18.4,69.7
5.1,68.6
5.9,73
4.2,70.7
4.6,72.3
9,76.7
7,78.7
7.4,74.7
6,77.4
8.5,83.5
9,82
7.4,81.1
5.8,76.8
8.2,76.9
13.4,74.6
13.3,74.4
5.7,48.6
10.5,57.1
11.1,61.8
6.1,62.7
8.2,53.8
4.6,53.5
7.7,58
9.5,62.9
6.4,66.1
5.7,65.3
6.3,54.2
5.9,53.8
7.2,59
9.4,63.2
13.7,66.9
6.9,60.5
6.1,64.6
8.7,59.6
4.7,53.7
6.4,58.4
10.5,66.3
7.6,72.5
7.9,73.5
9.5,67.9
8.9,69.6
6.9,63.5
5.8,59.1
5.7,55.7
7.3,63.2
8.1,66.7
6.4,70.3
6.2,73
6.7,71.3
9.6,69.2
12,64.1
8.1,71.1
7.1,72.9
8.1,73.5
10.1,76.9
8.9,73.3
13.5,68.1
