sulfur,humidity
0.4,16.3
0.7,14.9
0.7,14.6
1.3,13.6
1.2,12
0.9,8.7
1,15.6
1,40.7
0.9,38.5
1,29.2
1.3,26.4
1,17.6
0.7,18.7
0.8,16.3
0.8,18.1
1,13.8
0.8,12.7
0.8,12.9
0.6,37.6
0.2,32.3
0.9,22.8
0.5,10.8
0.4,12.2
0.5,11.4
0.6,10.8
0.5,10.1
0.5,19
0.7,17.3
0.7,16.6
0.7,27.9
0.7,25.3
0.5,40.1
0.5,33.9
0.8,18.9
1.2,12.8
1.1,10.3
0.8,7.3
1.3,12.2
0.9,35.4
1,36.9
0.5,21.9
0.4,32.4
0.4,46
0.5,38.1
0.9,20.3
0.7,14.4
0.6,16.8
0.6,21.9
0.6,30.5
0.6,27.5
1.2,12.5
0.7,13.6
0.6,35.4
0.6,33.4
0.6,16.5
0.6,16.2
0.6,16.5
0.7,14.8
0.7,12.5
0.6,19.6
0.7,19
0.4,34.4
0.3,36.9
0.4,22.5
0.3,17.5
0.5,12.1
0.6,10
0.4,11.1
0.5,11.7
0.5,19.5
0.4,14.8
0.4,11.4
0.4,23.3
0.5,35.6
0.4,39.9
0.7,28.9
0.7,17.2
0.7,29.2
0.7,50.5
1.1,42.6
1.1,20.4
0.8,9.6
0.8,9.9
0.8,9.5
0.6,9
0.3,10.1
0.8,12
0.9,12.5
1.1,9
0.7,9.2
0.7,27.4
1,41.7
0.7,30.1
0.4,20
0.6,20.8
0.9,22.1
0.9,27.9
0.9,27
0.9,17.6
1.1,15.3
1.3,16.8
1.1,16
0.9,25.7
0.7,39.5
0.7,21.9
0.6,22.2
0.7,13.8
0.6,12
0.6,14.8
1.2,13.8
0.5,17.6
0.4,16.2
0.6,16
0.8,11.4
0.7,15.8
0.2,24.1
0.4,15.8
0.1,18.5
0.2,15.9
0.1,32.3
-0.1,37.7
0.2,23.8
0.2,11.7
0.2,23.8
0.3,28.2
0.5,20.6
0.4,16.1
0.4,16.4
0.7,14.9
0.7,14.4
0.4,10.9
0.2,11.5
0.2,10.8
0.3,29.6
0.3,41.3
0.3,42.3
0.4,23.2
0.4,9.9
0.8,10.4
0.7,8.9
0.9,9.2
0.9,12.3
0.8,12.1
0.8,7.9
0.6,31.1
0.6,26.3
0.8,12.2
0.9,15.6
0.7,18.7
0.9,15.1
0.9,23.8
0.6,51.4
0.3,27.7
0.5,10.4
0.6,9.9
0.5,14
0.3,23.1
0.9,14.8
0.6,12.7
0.2,12.1
0.2,20.5
0.1,25.9
0,30
0,24.2
0.1,23.1
0.4,16.9
0.3,10.4
0.3,12.1
0.2,20.4
0.2,18.2
0.3,13.4
0.2,11.9
0.1,12.7
0.5,28.8
0.5,27.2
0.6,20.8
0.6,20.7
0.6,9.2
0.3,13
0.2,13.2
0.1,17.7
0.1,30.2
0.2,36.7
-0.1,38.4
