sulfur,ozone
0.4,22
0.7,26
0.7,29
1.3,17
1.2,19
0.9,38
1,30
1,37
0.9,26
1,22
1.3,28
1,37
0.7,41
0.8,32
0.8,33
1,22
0.8,27
0.8,33
0.6,35
0.2,36
0.9,27
0.5,40
0.4,43
0.5,21
0.6,35
0.5,43
0.5,44
0.7,31
0.7,39
0.7,39
0.7,36
0.5,38
0.5,33
0.8,28
1.2,21
1.1,33
0.8,36
1.3,19
0.9,38
1,35
0.5,35
0.4,39
0.4,30
0.5,28
0.9,24
0.7,41
0.6,46
0.6,34
0.6,39
0.6,31
1.2,34
0.7,42
0.6,47
0.6,39
0.6,38
0.6,41
0.6,46
0.7,37
0.7,40
0.6,46
0.7,43
0.4,39
0.3,35
0.4,44
0.3,49
0.5,48
0.6,44
0.4,49
0.5,49
0.5,41
0.4,39
0.4,37
0.4,37
0.5,48
0.4,45
0.7,43
0.7,31
0.7,33
0.7,28
1.1,32
1.1,33
0.8,42
0.8,43
0.8,39
0.6,43
0.3,38
0.8,42
0.9,43
1.1,35
0.7,37
0.7,33
1,33
0.7,30
0.4,31
0.6,41
0.9,30
0.9,28
0.9,30
0.9,29
1.1,26
1.3,17
1.1,21
0.9,28
0.7,33
0.7,29
0.6,28
0.7,25
0.6,30
0.6,28
1.2,27
0.5,35
0.4,30
0.6,27
0.8,27
0.7,36
0.2,44
0.4,36
0.2,43
0.1,43
-0.1,37
0.2,32
0.2,50
0.2,45
0.3,42
0.5,44
0.4,51
0.4,42
0.7,25
0.7,23
0.4,33
0.2,37
0.2,38
0.3,43
0.3,38
0.3,39
0.4,36
0.4,37
0.8,37
0.7,42
0.9,33
0.9,32
0.8,35
0.8,45
0.6,41
0.6,43
0.8,46
0.9,47
0.7,49
0.9,42
0.9,34
0.6,45
0.3,38
0.5,36
0.6,34
0.5,39
0.3,44
0.9,40
0.6,36
0.2,40
0.2,42
0.1,43
0,47
0,43
0.1,48
0.4,49
0.3,46
0.3,39
0.2,44
0.2,44
0.3,45
0.2,41
0.1,56
0.5,49
0.5,44
0.6,41
0.6,43
0.6,36
0.3,32
0.2,27
0.1,46
0.1,50
0.2,49
-0.1,44
