sulfur,pm10
0.4,22.9
0.7,33.7
0.7,26.8
1.3,39.4
1.2,38.5
0.9,32.2
1,43.2
1,47.3
0.9,22.4
1,23.6
1.3,38
1,80.2
0.7,20.3
0.8,24.3
0.8,22.5
1,28.2
0.8,26.6
0.8,30.8
0.6,34.6
0.2,20.6
0.9,29.9
0.5,93.5
0.4,78
0.5,28.3
0.6,25
0.5,25.9
0.5,23.1
0.7,28
0.7,110.4
0.7,30.6
0.7,23.7
0.5,18
0.5,14.8
0.8,20.5
1.2,30.4
1.1,26.7
0.8,27.1
1.3,42.3
0.9,25.8
1,21.9
0.5,56
0.4,13
0.4,20
0.5,20.2
0.9,28.8
0.7,77.7
0.6,31
0.6,19.5
0.6,26.2
0.6,22.7
1.2,23.9
0.7,24.9
0.6,40.8
0.6,20.9
0.6,30.3
0.6,94.1
0.6,47.5
0.7,31.6
0.7,43.8
0.6,29.3
0.7,22.5
0.4,44.1
0.3,19.8
0.4,23.4
0.3,21.7
0.5,26.7
0.6,79
0.4,35.4
0.5,32.7
0.5,25.9
0.4,23.8
0.4,25.2
0.4,32.5
0.5,30.3
0.4,31.9
0.7,34.5
0.7,82.1
0.7,36.5
0.7,18.8
1.1,23.3
1.1,27.3
0.8,21.4
0.8,40.6
0.8,40.4
0.6,47.9
0.3,52.1
0.8,47.4
0.9,28.5
1.1,36.1
0.7,33
0.7,27.5
1,20.3
0.7,22
0.4,21.5
0.6,22.5
0.9,30.7
0.9,28.1
0.9,30.3
0.9,30.8
1.1,47.9
1.3,51.5
1.1,45.8
0.9,38.5
0.7,34.6
0.7,36.1
0.6,30.7
0.7,31.9
0.6,30.3
0.6,27.7
1.2,45
0.5,30.6
0.4,35
0.6,28.3
0.8,34.5
0.7,21.6
0.5,26.1
0.4,48.2
0.4,26.1
0.7,34.8
0.7,38.6
0.4,26.7
0.2,25.3
0.2,28.4
0.3,32.8
0.3,32.7
0.3,25.4
0.4,27.2
0.4,23.5
0.8,23.7
0.7,25.3
0.9,33.1
0.9,29.7
0.8,25.4
0.8,24
0.6,29
0.6,21.1
0.8,45.9
0.9,107.9
0.7,22.6
0.9,48.3
0.9,53.2
0.6,16.1
0.3,14.3
0.5,20.1
0.6,27.7
0.5,25.4
0.3,30.2
0.9,26
0.6,36.8
0.2,22
0.2,27.7
0.1,25.8
0,20.7
0,24
0.1,21.4
0.4,26.4
0.3,20.1
0.3,26.8
0.2,115.3
0.2,25.2
0.3,28.6
0.2,20.5
0.1,20.9
0.5,24
0.5,26.4
0.6,29.7
0.6,26.1
0.6,43.1
0.3,41
0.2,24.9
0.1,27.8
0.1,25.5
0.2,50.4
-0.1,27.1
