sulfur,temp
0.4,65.2
0.7,68.4
0.7,67
1.3,66.9
1.2,65.9
0.9,69
1,60.6
1,52.2
0.9,55.2
1,59.9
1.3,61.9
1,63.4
0.7,61
0.8,65.3
0.8,65.1
1,65.4
0.8,65.7
0.8,66.9
0.6,53.3
0.2,54.6
0.9,64.5
0.5,70.8
0.4,61.1
0.5,56.5
0.6,62.4
0.5,66.2
0.5,61.7
0.7,66.5
0.7,68.4
0.7,59.9
0.7,55
0.5,50.6
0.5,52.5
0.8,60.3
1.2,67
1.1,73
0.8,69
1.3,68.4
0.9,67.8
1,67.8
0.5,66.9
0.4,62.4
0.4,59
0.5,63.8
0.9,71.4
0.7,73.4
0.6,60.9
0.6,60.6
0.6,65.1
0.6,65.7
1.2,71.8
0.7,75.1
0.6,72.7
0.6,72.7
0.6,73.1
0.6,73.4
0.6,66.5
0.7,65.7
0.7,71.7
0.6,63.8
0.7,66.2
0.4,59.5
0.3,58.6
0.4,69.3
0.3,73.8
0.5,78.5
0.6,80.2
0.4,71.9
0.5,68.7
0.5,68.5
0.4,72.9
0.4,76.5
0.4,75.3
0.5,78.7
0.4,73.6
0.7,77.2
0.7,78.8
0.7,70.9
0.7,62.4
1.1,66.3
1.1,77.2
0.8,79.1
0.8,78.7
0.8,79.3
0.6,78.1
0.3,78.6
0.8,74.6
0.9,70.8
1.1,77
0.7,81.8
0.7,78.7
1,73.5
0.7,54
0.4,54.5
0.6,57.3
0.9,62.6
0.9,65.9
0.9,64.7
0.9,59.2
1.1,63.2
1.3,65.9
1.1,67.9
0.9,68.6
0.7,62.8
0.7,64.1
0.6,68
0.7,70.8
0.6,71.3
0.6,71
1.2,73.2
0.5,76.3
0.4,75.5
0.6,76.2
0.8,76.4
0.7,66.8
0.2,59.7
0.4,65.8
0.1,64.7
0.2,67.8
0.1,58.8
-0.1,57.4
0.2,65.6
0.2,68.6
0.2,56.5
0.3,58.8
0.5,65.4
0.4,64.1
0.4,58.8
0.7,65.2
0.7,71.2
0.4,74.1
0.2,70.5
0.2,68.7
0.3,72.5
0.3,73.4
0.3,71.2
0.4,75.7
0.4,74.1
0.8,73.6
0.7,74.5
0.9,75.8
0.9,76.6
0.8,77.1
0.8,74.8
0.6,65.7
0.6,67.7
0.8,78.1
0.9,74.8
0.7,67.8
0.9,75.4
0.9,74.5
0.6,52.1
0.3,60.1
0.5,70.7
0.6,75.3
0.5,75.6
0.3,68.9
0.9,76.6
0.6,80.5
0.2,78.4
0.2,74.8
0.1,67.1
0,61.3
0,68.2
0.1,74.5
0.4,79.7
0.3,80.4
0.3,77.7
0.2,69.7
0.2,68.6
0.3,73
0.2,70.7
0.1,72.3
0.5,76.7
0.5,78.7
0.6,74.7
0.6,77.4
0.6,83.5
0.3,82
0.2,81.1
0.1,76.8
0.1,76.9
0.2,74.6
-0.1,74.4
