temp,humidity
65.2,16.3
68.4,14.9
67,14.6
66.9,13.6
65.9,12
69,8.7
60.6,15.6
52.2,40.7
55.2,38.5
59.9,29.2
61.9,26.4
63.4,17.6
61,18.7
65.3,16.3
65.1,18.1
65.4,13.8
65.7,12.7
66.9,12.9
53.3,37.6
54.6,32.3
64.5,22.8
70.8,10.8
61.1,12.2
56.5,11.4
62.4,10.8
66.2,10.1
61.7,19
66.5,17.3
68.4,16.6
59.9,27.9
55,25.3
50.6,40.1
52.5,33.9
60.3,18.9
67,12.8
73,10.3
69,7.3
68.4,12.2
67.8,35.4
67.8,36.9
66.9,21.9
62.4,32.4
59,46
63.8,38.1
71.4,20.3
73.4,14.4
60.9,16.8
60.6,21.9
65.1,30.5
65.7,27.5
71.8,12.5
75.1,13.6
72.7,35.4
72.7,33.4
73.1,16.5
73.4,16.2
66.5,16.5
65.7,14.8
71.7,12.5
63.8,19.6
66.2,19
59.5,34.4
58.6,36.9
69.3,22.5
73.8,17.5
78.5,12.1
80.2,10
71.9,11.1
68.7,11.7
68.5,19.5
72.9,14.8
76.5,11.4
75.3,23.3
78.7,35.6
73.6,39.9
77.2,28.9
78.8,17.2
70.9,29.2
62.4,50.5
66.3,42.6
77.2,20.4
79.1,9.6
78.7,9.9
79.3,9.5
78.1,9
78.6,10.1
74.6,12
70.8,12.5
77,9
81.8,9.2
78.7,27.4
73.5,41.7
54,30.1
54.5,20
57.3,20.8
62.6,22.1
65.9,27.9
64.7,27
59.2,17.6
63.2,15.3
65.9,16.8
67.9,16
68.6,25.7
62.8,39.5
64.1,21.9
68,22.2
70.8,13.8
71.3,12
71,14.8
73.2,13.8
76.3,17.6
75.5,16.2
76.2,16
76.4,11.4
66.8,15.8
59.7,24.1
65.8,15.8
64.7,18.5
67.8,15.9
58.8,32.3
57.4,37.7
65.6,23.8
68.6,11.7
56.5,23.8
58.8,28.2
65.4,20.6
64.1,16.1
58.8,16.4
65.2,14.9
71.2,14.4
74.1,10.9
70.5,11.5
68.7,10.8
72.5,29.6
73.4,41.3
71.2,42.3
75.7,23.2
74.1,9.9
73.6,10.4
74.5,8.9
75.8,9.2
76.6,12.3
77.1,12.1
74.8,7.9
65.7,31.1
67.7,26.3
78.1,12.2
74.8,15.6
67.8,18.7
75.4,15.1
74.5,23.8
52.1,51.4
60.1,27.7
70.7,10.4
75.3,9.9
75.6,14
68.9,23.1
76.6,14.8
80.5,12.7
78.4,12.1
74.8,20.5
67.1,25.9
61.3,30
68.2,24.2
74.5,23.1
79.7,16.9
80.4,10.4
77.7,12.1
69.7,20.4
68.6,18.2
73,13.4
70.7,11.9
72.3,12.7
76.7,28.8
78.7,27.2
74.7,20.8
77.4,20.7
83.5,9.2
82,13
81.1,13.2
76.8,17.7
76.9,30.2
74.6,36.7
74.4,38.4
48.6,34.3
57.1,22.2
61.8,17.8
62.7,8.6
53.8,16
53.5,10.3
58,9.4
62.9,12.1
66.1,11.5
65.3,16.4
54.2,45.2
53.8,30.8
59,24.8
63.2,24.6
66.9,22.2
60.5,20.9
64.6,20
59.6,25.4
53.7,16.3
58.4,12
66.3,14.8
72.5,16.7
73.5,15.6
67.9,27.3
69.6,27.5
63.5,30.6
59.1,27.5
55.7,26.4
63.2,12.6
66.7,13.1
70.3,11.1
73,9.5
71.3,9
69.2,12.3
64.1,16.1
71.1,14
72.9,12.7
73.5,17.7
76.9,18.3
73.3,13.9
68.1,27.1
77.8,15.1
77,11.5
60.3,10
56.7,10.8
64.9,8.2
72.6,6.9
73.4,6.8
68.1,10
70.6,16.9
67.1,22.3
63.3,21.3
66.5,24.5
73.7,18.6
77.6,12.5
65,33.7
69.8,26
66.4,20.7
73.6,17.2
78,14.8
75.2,14
73.1,12.8
71.7,12.5
65.7,14.8
69.6,12.9
74.1,14.4
78.4,12.4
82.4,10.8
85.7,9.4
85,7.2
86.1,7.9
84.2,9.2
81,12.5
79.4,15.5
79.7,14.5
82.1,9.6
82.7,9.6
84.6,7
78.6,6
76.6,6.7
77.8,22.2
77.1,39.5
79.5,26
80.7,12.7
82,19.9
84.2,8.6
86.4,7.8
84.5,8.3
81.6,7.7
83.4,7.9
85.8,7.8
87.4,7.3
63.4,18.1
65.3,18.4
64.1,27.6
45.9,42.2
48.8,31.3
58.9,22
68.6,16.8
63.2,27.6
53.7,27.4
58.6,37.6
62.4,44.2
58.3,57.2
49.9,46.2
50.7,21.6
47.8,29.2
44.6,49.1
53.4,32.8
55,29.5
56.9,31.8
58.3,35.4
60.7,48.1
61.9,31.8
59.8,19.6
64.4,15.2
65.9,14.6
70.8,32
72,35.2
72.3,12.5
69.4,11.3
58.9,20
50.9,29.4
55.3,29.7
65.1,15.7
67.6,15.4
65.5,16.2
65.6,17
64.4,21.1
68.2,22.7
73.4,14.1
77.8,9.5
70.5,8.2
57.6,13.2
55.2,21.4
54,37.8
62.2,28.3
72.3,12.2
72.2,13.7
60.2,39.6
65.6,32.6
71,16.3
76.4,11.1
74.9,15
68.6,30
64.6,43
65.6,37.8
74.4,20.9
79.4,18.5
79.3,12.8
78,10.1
76.6,9.4
72.3,16.4
72.2,14.2
73.8,9.8
75.5,9.4
75.6,9.4
78.5,9
77.3,10.5
71.5,16.1
66.9,25.3
67,29.1
58.3,54.9
62.9,46.7
63.3,49.9
65.3,43.4
74,27.4
79.1,17.8
81.6,17.1
75.1,13.1
69.9,14
74.6,10.3
68.2,18.1
64.9,17.7
76.1,9.4
74.3,13.9
74.4,13.9
80.7,11.5
80.2,10.9
77.3,14.1
72.4,15.8
73.7,10
75.1,27.1
77.5,42.7
59.4,25.5
59.1,28.5
50,68.1
48.8,64.7
53,54.4
57.9,36.3
63.4,32.4
57.7,70.7
58.4,55.9
62.2,48.9
65.3,47
62.7,61.8
61.6,61.7
60.4,39
63.3,47.6
64.6,35.2
63.1,42.1
54.2,69.6
54.4,39.6
56.2,40.1
60,36.3
62.5,22.8
66.3,20.9
63.1,22.9
68.8,20.9
71.6,19.1
61.4,28.1
51,25
59.1,17.2
62.2,17.1
63.6,18.6
71.8,14.2
69,17.1
66.3,19.9
65.1,23.6
66.9,19.2
68.7,21.2
67.3,24.6
69.5,25.2
70.2,21.6
66.5,16.8
62.7,17.2
59.2,36.7
64.4,25.6
61.1,26.5
61.2,22.4
68.5,13.9
69,15.6
69.4,15.5
66.2,17.1
69.5,14.7
72.5,13.7
68.2,18.2
71.3,18.3
75.8,15.1
72.7,17.8
78,16.1
80.1,12.3
79.4,11.7
75,17.8
78.3,16.3
83.3,12.3
81.9,14.9
81.8,12.5
81.1,11
75.7,20.4
80.4,17.7
85.2,11.2
71.7,12.1
74.7,14.7
74.9,25.9
75.4,31.1
77.8,15.3
77.6,13.7
75.5,13.4
77.4,11.6
78.6,11.9
83.2,10.8
85.3,10.6
84.9,10.6
78.1,10.8
75.1,8.7
77.5,7.5
78.7,9.3
77.5,12.2
73.7,17.4
74.9,28
84.1,11.3
86.6,13.9
82.7,19.4
82.2,19.2
81.2,16.7
46.3,25
47.1,29.6
56.6,16.7
62.5,20.2
