temp,ozone
65.2,22
68.4,26
67,29
66.9,17
65.9,19
69,38
60.6,30
52.2,37
55.2,26
59.9,22
61.9,28
63.4,37
61,41
65.3,32
65.1,33
65.4,22
65.7,27
66.9,33
53.3,35
54.6,36
64.5,27
70.8,40
61.1,43
56.5,21
62.4,35
66.2,43
61.7,44
66.5,31
68.4,39
59.9,39
55,36
50.6,38
52.5,33
60.3,28
67,21
73,33
69,36
68.4,19
67.8,38
67.8,35
66.9,35
62.4,39
59,30
63.8,28
71.4,24
73.4,41
60.9,46
60.6,34
65.1,39
65.7,31
71.8,34
75.1,42
72.7,47
72.7,39
73.1,38
73.4,41
66.5,46
65.7,37
71.7,40
63.8,46
66.2,43
59.5,39
58.6,35
69.3,44
73.8,49
78.5,48
80.2,44
71.9,49
68.7,49
68.5,41
72.9,39
76.5,37
75.3,37
78.7,48
73.6,45
77.2,43
78.8,31
70.9,33
62.4,28
66.3,32
77.2,33
79.1,42
78.7,43
79.3,39
78.1,43
78.6,38
74.6,42
70.8,43
77,35
81.8,37
78.7,33
73.5,33
54,30
54.5,31
57.3,41
62.6,30
65.9,28
64.7,30
59.2,29
63.2,26
65.9,17
67.9,21
68.6,28
62.8,33
64.1,29
68,28
70.8,25
71.3,30
71,28
73.2,27
76.3,35
75.5,30
76.2,27
76.4,27
66.8,36
59.7,44
65.8,36
67.8,43
58.8,43
57.4,37
65.6,32
68.6,50
56.5,45
58.8,42
65.4,44
64.1,51
58.8,42
65.2,25
71.2,23
74.1,33
70.5,37
68.7,38
72.5,43
73.4,38
71.2,39
75.7,36
74.1,37
73.6,37
74.5,42
75.8,33
76.6,32
77.1,35
74.8,45
65.7,41
67.7,43
78.1,46
74.8,47
67.8,49
75.4,42
74.5,34
52.1,45
60.1,38
70.7,36
75.3,34
75.6,39
68.9,44
76.6,40
80.5,36
78.4,40
74.8,42
67.1,43
61.3,47
68.2,43
74.5,48
79.7,49
80.4,46
77.7,39
69.7,44
68.6,44
73,45
70.7,41
72.3,56
76.7,49
78.7,44
74.7,41
77.4,43
83.5,36
82,32
81.1,27
76.8,46
76.9,50
74.6,49
74.4,44
48.6,32
57.1,25
61.8,22
62.7,35
53.8,31
53.5,32
58,38
62.9,25
66.1,32
65.3,39
54.2,38
53.8,39
59,36
63.2,40
66.9,35
60.5,33
64.6,32
59.6,42
53.7,38
58.4,33
66.3,21
72.5,19
73.5,23
67.9,23
69.6,24
63.5,33
59.1,40
55.7,39
63.2,33
66.7,24
70.3,34
73,38
71.3,41
69.2,36
64.1,34
71.1,27
72.9,41
73.5,33
76.9,36
73.3,43
68.1,45
77.8,36
77,41
60.3,53
56.7,39
64.9,31
72.6,39
73.4,47
68.1,49
70.6,50
67.1,48
63.3,51
66.5,36
73.7,33
77.6,26
65,39
