temp,radiation
65.2,0.362
68.4,0.362
67,0.336
66.9,0.342
65.9,0.268
69,0.243
60.6,0.316
52.2,0.234
55.2,0.357
59.9,0.387
61.9,0.377
63.4,0.374
61,0.395
65.3,0.377
65.1,0.398
65.4,0.398
65.7,0.403
66.9,0.41
53.3,0.4
54.6,0.397
64.5,0.41
70.8,0.389
61.1,0.397
56.5,0.422
62.4,0.425
66.2,0.426
61.7,0.427
66.5,0.396
68.4,0.374
59.9,0.342
55,0.375
50.6,0.305
52.5,0.443
60.3,0.449
67,0.449
73,0.434
69,0.361
68.4,0.173
67.8,0.359
67.8,0.458
66.9,0.446
62.4,0.465
59,0.306
63.8,0.466
71.4,0.468
73.4,0.435
60.9,0.459
60.6,0.475
65.1,0.412
65.7,0.477
71.8,0.485
75.1,0.478
72.7,0.386
72.7,0.459
73.1,0.487
73.4,0.472
66.5,0.482
65.7,0.49
71.7,0.491
63.8,0.492
66.2,0.493
59.5,0.484
58.6,0.493
69.3,0.494
73.8,0.501
78.5,0.468
80.2,0.492
71.9,0.506
68.7,0.508
68.5,0.511
72.9,0.517
76.5,0.519
75.3,0.463
78.7,0.491
73.6,0.35
77.2,0.436
78.8,0.445
70.9,0.422
62.4,0.338
66.3,0.463
77.2,0.51
79.1,0.514
78.7,0.486
79.3,0.506
78.1,0.474
78.6,0.51
74.6,0.5
70.8,0.515
77,0.523
81.8,0.481
78.7,0.36
73.5,0.404
54,0.327
54.5,0.326
57.3,0.217
62.6,0.328
65.9,0.304
64.7,0.341
59.2,0.35
63.2,0.335
65.9,0.311
67.9,0.349
68.6,0.335
62.8,0.344
64.1,0.356
68,0.362
70.8,0.356
71.3,0.344
71,0.369
73.2,0.363
76.3,0.366
75.5,0.359
76.2,0.37
76.4,0.38
66.8,0.327
59.7,0.385
65.8,0.371
64.7,0.386
67.8,0.389
58.8,0.332
57.4,0.273
65.6,0.402
68.6,0.317
56.5,0.279
58.8,0.408
65.4,0.412
64.1,0.415
58.8,0.418
65.2,0.335
71.2,0.432
74.1,0.437
70.5,0.393
68.7,0.427
72.5,0.409
73.4,0.423
71.2,0.416
75.7,0.406
74.1,0.448
73.6,0.443
74.5,0.45
75.8,0.429
76.6,0.454
77.1,0.493
74.8,0.465
65.7,0.449
67.7,0.451
78.1,0.457
74.8,0.421
67.8,0.455
75.4,0.441
74.5,0.382
52.1,0.312
60.1,0.475
70.7,0.495
75.3,0.488
75.6,0.478
68.9,0.48
76.6,0.48
80.5,0.408
78.4,0.479
74.8,0.458
67.1,0.465
61.3,0.437
68.2,0.479
74.5,0.477
79.7,0.479
80.4,0.445
77.7,0.469
69.7,0.357
68.6,0.487
73,0.466
70.7,0.505
72.3,0.502
76.7,0.49
78.7,0.469
74.7,0.492
77.4,0.424
83.5,0.453
82,0.495
81.1,0.502
76.8,0.502
76.9,0.486
74.6,0.425
74.4,0.393
48.6,0.352
57.1,0.356
61.8,0.361
62.7,0.369
53.8,0.315
53.5,0.299
58,0.333
62.9,0.278
66.1,0.37
65.3,0.302
54.2,0.196
53.8,0.338
59,0.371
63.2,0.353
66.9,0.351
60.5,0.323
64.6,0.325
59.6,0.395
53.7,0.377
58.4,0.411
66.3,0.396
72.5,0.381
73.5,0.359
67.9,0.305
69.6,0.351
63.5,0.092
59.1,0.386
55.7,0.422
63.2,0.429
66.7,0.433
70.3,0.405
73,0.381
71.3,0.443
69.2,0.45
64.1,0.441
71.1,0.419
72.9,0.362
73.5,0.373
76.9,0.448
73.3,0.376
68.1,0.454
77.8,0.454
77,0.437
60.3,0.441
56.7,0.477
64.9,0.478
72.6,0.424
73.4,0.447
68.1,0.47
70.6,0.423
67.1,0.476
63.3,0.475
66.5,0.301
73.7,0.479
77.6,0.477
65,0.419
69.8,0.446
66.4,0.242
73.6,0.453
78,0.488
75.2,0.455
73.1,0.306
71.7,0.434
65.7,0.51
69.6,0.509
