temp,wind
65.2,5
68.4,8.2
67,5.5
66.9,4.1
65.9,4
69,8.8
60.6,9.1
52.2,5.6
55.2,4.7
59.9,4.7
61.9,4.4
63.4,12
61,10.1
65.3,9.1
65.1,6.6
65.4,4.5
65.7,5.4
66.9,6.8
53.3,12.4
54.6,9.3
64.5,5.9
70.8,10.4
61.1,13.3
56.5,3.9
62.4,7.9
66.2,8.3
61.7,6.3
66.5,7
68.4,9.6
59.9,11.1
55,7.5
50.6,6.5
52.5,5.8
60.3,3.6
67,3.5
73,7
69,5.6
68.4,4.7
67.8,7.3
67.8,4.8
66.9,10.2
62.4,8.8
59,7.4
63.8,4.2
71.4,4.2
73.4,9.9
60.9,11.6
60.6,4.6
65.1,8.2
65.7,4.4
71.8,5.9
75.1,6.3
72.7,11
72.7,7
73.1,9.8
73.4,10.7
66.5,12.3
65.7,6.6
71.7,8.3
63.8,11.2
66.2,5.9
59.5,12.5
58.6,8.8
69.3,7.3
73.8,8
78.5,9.9
80.2,8.8
71.9,8.1
68.7,9.6
68.5,10.5
72.9,7.7
76.5,5.8
75.3,8
78.7,7.6
73.6,10.1
77.2,8.4
78.8,9.6
70.9,10.5
62.4,11.8
66.3,4.7
77.2,5.7
79.1,6.4
78.7,8.6
79.3,7.9
78.1,7.9
78.6,8.2
74.6,10.1
70.8,6.4
77,4.3
81.8,5.9
78.7,6.3
73.5,6.1
54,5.2
54.5,6.5
57.3,10.5
62.6,5.7
65.9,7.3
64.7,10.8
59.2,4.7
63.2,3.7
65.9,3.4
67.9,3.8
68.6,7
62.8,9.5
64.1,6.9
68,4.9
70.8,4.8
71.3,7
71,5.1
73.2,3.5
76.3,5
75.5,5.1
76.2,4.9
76.4,5.6
66.8,13
59.7,11.6
65.8,6.5
64.7,9.2
67.8,7.1
58.8,10
57.4,7.6
65.6,6.8
68.6,12.9
56.5,6.1
58.8,8
65.4,9.6
64.1,12.6
58.8,6
65.2,4.6
71.2,5.1
74.1,8.7
70.5,9.8
68.7,4.3
72.5,9.2
73.4,9.5
71.2,6.6
75.7,5.9
74.1,6.5
73.6,5.9
74.5,6.2
75.8,6.3
76.6,8.8
77.1,6.8
74.8,7.9
65.7,12.1
67.7,9.8
78.1,11
74.8,15.2
67.8,9.5
75.4,11.7
74.5,12.2
52.1,8.2
60.1,7.1
70.7,5.6
75.3,6.6
75.6,7.2
68.9,10.6
76.6,6.8
80.5,8.7
78.4,8.2
74.8,8.8
67.1,10.9
61.3,10.6
68.2,6.7
74.5,7.4
79.7,6.6
80.4,7.9
77.7,8.8
69.7,12.3
68.6,10.3
73,10.3
70.7,8.2
72.3,7.4
76.7,7.9
78.7,7.2
74.7,7.8
77.4,7.7
83.5,10
82,9.8
81.1,8.8
76.8,9.2
76.9,10.8
74.6,8.3
74.4,7.1
48.6,6.7
57.1,5.1
61.8,5.2
62.7,8.6
53.8,4.6
53.5,5.5
58,6.8
62.9,4.1
66.1,7.5
65.3,10.6
54.2,11.5
53.8,8.8
59,8.2
63.2,9.2
